19.757,596.3,24.7,8.5,18.2
20.439,582.5,24.7,17.9,18.1
21.118,528.5,24.7,27.1,18.1
21.797,498.4,24.5,18.4,18.1
22.476,484.6,24.5,13.4,18.1
23.157,617.2,24.4,14.8,18.1
23.836,541.5,24.4,11.3,18.2
24.516,486,24.3,15.4,18.1
25.196,510.6,24.4,18,18.1
25.874,646.6,24.4,15.9,18.1
26.555,690.8,24.4,13.9,18.1
27.234,555,24.3,16.5,18
27.914,511.3,24.3,11.3,18.1
28.593,553.8,24.3,13.4,18.1
29.273,743.6,24.3,15.8,18.1
29.952,665.8,24.2,12.8,18
30.631,602,24.2,9.7,18.1
31.312,564.2,24.2,12.8,18.1
31.991,621,24.2,20,18.2
32.671,716.3,24.2,12.8,18.1
33.351,613.8,24.2,13,18.2
34.03,572.2,24.2,13.5,18.1
34.71,595.1,24.2,17.7,18.1
35.389,646.8,24.3,20.1,18.1
36.069,641.6,24.2,15.4,18.1
36.748,655.2,24.2,11.1,18.1
37.428,635.2,24.3,18,18.1
38.108,650.1,24.3,22.1,18.2
38.787,746.2,24.3,21.5,18.1
39.466,715,24.3,5.5,18.1
40.146,726.3,24.4,14.5,18.1
40.825,669.3,24.4,25.6,18.1
41.505,675.8,24.4,20.6,18.1
42.185,685.7,24.4,13.5,18.1
42.863,677.6,24.4,6.4,18.1
43.544,619.2,24.4,17.1,18
44.224,630.2,24.5,32.9,18.1
44.904,666,24.6,18.9,18.1
45.582,684.8,24.6,9.4,18.1
46.261,654.8,24.5,8.9,18.1
46.942,620.4,24.5,21.1,18.1
47.621,694.6,24.6,20.2,18.1
48.301,720.2,24.7,20.8,18.1
48.98,700.8,24.6,6.9,18
49.66,679.9,24.7,16.5,18
50.34,631.7,24.7,23.1,18
51.019,605.8,24.8,19.3,18
51.699,704.4,24.7,12.1,17.9
52.379,691.9,24.7,10.6,18
53.058,721.9,24.7,13,18
